Time,pH,Temperature
15:05:05,7,20
15:05:07,7,36
15:05:08,9,33
15:05:09,7,21
15:05:10,8,40
15:05:12,7,33
15:05:13,7,38
15:05:14,9,25
15:05:15,8,31
15:05:17,9,32
15:05:18,9,33
15:05:19,9,30
15:05:21,7,36
15:05:22,7,27
15:05:23,8,29
15:05:24,7,24
15:05:26,7,28
15:05:27,6,29
15:05:28,8,34
15:05:29,8,26
15:05:31,8,28
15:05:32,6,35
15:05:33,9,34
15:05:34,8,22
15:05:36,7,35
15:05:37,7,38
15:05:38,7,39
15:05:39,7,27
15:05:41,6,40
15:05:42,6,39
15:05:43,7,25
15:05:44,6,21
15:05:46,7,21
15:05:47,8,22
15:05:48,6,29
15:05:50,6,34
15:05:51,6,36
15:05:52,6,33
15:05:53,8,39
15:05:55,7,39
